Voyage_ID,Date,Ship_Type,Route_Type,Maintenance_Status,Anomaly_Type,Speed_Over_Ground_knots,Efficiency_nm_per_kWh,Operational_Cost_USD,Revenue_per_Voyage_USD,Excess_Cost_USD,Lost_Revenue_USD
612,2024-03-17,Tanker,Transoceanic,Unknown,Speed Deviation,10.45,0.52,97632.83,243093.35,-156432.54,272588.63
618,2024-04-28,Fish Carrier,Transoceanic,Good,Low Efficiency,13.51,1.45,413234.48,709311.33,159169.11,0.0
621,2024-05-19,Bulk Carrier,Transoceanic,Good,"Low Efficiency, Speed Deviation",10.73,1.48,462897.78,916755.15,208832.42,0.0
624,2024-06-09,Bulk Carrier,Transoceanic,Good,"Low Efficiency, High Cost",23.41,0.15,496101.62,846133.71,242036.25,0.0
625,2024-06-16,Fish Carrier,Coastal,Good,Speed Deviation,24.23,1.02,204137.5,195198.9,-49927.86,320483.08
626,2024-06-23,Unknown,Coastal,Critical,"Low Efficiency, High Cost",11.85,0.19,32545.64,829715.94,-221519.73,0.0
628,2023-06-04,Bulk Carrier,Transoceanic,Critical,Low Efficiency,11.9,1.45,379311.37,448954.13,125246.01,66727.85
632,2023-07-02,Bulk Carrier,Coastal,Critical,Low Efficiency,13.75,1.46,140067.06,633020.55,-113998.3,0.0
635,2023-07-23,Bulk Carrier,Long-haul,Good,"Low Efficiency, Speed Deviation",24.6,0.18,304087.12,437723.38,50021.76,77958.6
637,2023-08-06,Bulk Carrier,Coastal,Unknown,High Cost,12.21,0.43,484256.11,392054.5,230190.74,123627.48
639,2023-08-20,Fish Carrier,Transoceanic,Critical,"High Cost, Speed Deviation",10.99,0.76,485992.56,875407.91,231927.19,0.0
642,2023-09-10,Tanker,Long-haul,Good,Speed Deviation,24.84,0.99,253353.18,602844.86,-712.19,0.0
643,2023-09-17,Container Ship,Long-haul,Fair,"Low Efficiency, High Cost",13.41,0.18,39590.45,748379.06,-214474.92,0.0
644,2023-09-24,Bulk Carrier,Transoceanic,Critical,Low Efficiency,23.32,0.12,264110.57,982917.33,10045.2,0.0
649,2023-10-29,Unknown,Short-haul,Critical,Speed Deviation,10.56,1.03,208357.4,867578.08,-45707.97,0.0
651,2023-11-12,Bulk Carrier,Long-haul,Critical,Speed Deviation,10.54,1.3,173243.51,185005.16,-80821.85,330676.82
653,2023-11-26,Container Ship,Long-haul,Critical,High Cost,17.73,0.22,480339.35,348700.01,226273.98,166981.97
654,2023-12-03,Container Ship,Long-haul,Critical,Low Efficiency,16.49,0.13,403069.4,622512.43,149004.04,0.0
656,2023-12-17,Tanker,Coastal,Fair,High Cost,12.41,0.63,22296.21,862101.81,-231769.16,0.0
657,2023-12-24,Tanker,Transoceanic,Good,Speed Deviation,24.18,0.7,368449.55,421995.76,114384.19,93686.22
661,2024-01-21,Bulk Carrier,Long-haul,Critical,Low Efficiency,17.14,1.42,376122.91,453249.23,122057.54,62432.76
665,2024-02-18,Unknown,Long-haul,Fair,Speed Deviation,10.21,0.42,293171.41,844402.3,39106.04,0.0
666,2024-02-25,Bulk Carrier,Short-haul,Good,Low Efficiency,21.44,1.42,420651.46,226159.7,166586.1,289522.28
668,2024-03-10,Container Ship,Coastal,Good,Speed Deviation,24.33,1.4,88825.58,467933.05,-165239.78,47748.93
670,2024-03-24,Container Ship,Transoceanic,Good,Speed Deviation,24.2,1.26,385399.46,385010.5,131334.09,130671.48
671,2024-03-31,Container Ship,Transoceanic,Good,Speed Deviation,24.7,0.63,125553.39,213843.86,-128511.98,301838.12
675,2024-04-28,Bulk Carrier,Transoceanic,Critical,High Cost,20.28,0.72,488685.89,157715.62,234620.53,357966.36
678,2024-05-19,Container Ship,Short-haul,Good,Low Efficiency,19.53,1.42,127391.81,511803.65,-126673.55,3878.33
686,2023-06-11,Tanker,Coastal,Fair,Speed Deviation,10.76,0.65,464084.87,207787.83,210019.51,307894.15
687,2023-06-18,Tanker,Coastal,Good,High Cost,22.87,0.61,24143.06,66957.61,-229922.3,448724.37
689,2023-07-02,Container Ship,Short-haul,Fair,High Cost,18.08,1.1,37766.1,298870.28,-216299.26,216811.7
691,2023-07-16,Fish Carrier,Coastal,Good,Low Efficiency,12.59,1.41,165159.16,595029.92,-88906.21,0.0
692,2023-07-23,Fish Carrier,Transoceanic,Unknown,High Cost,22.38,0.75,36299.04,277717.28,-217766.33,237964.71
695,2023-08-13,Fish Carrier,Short-haul,Good,Low Efficiency,22.05,1.43,194031.6,679370.08,-60033.77,0.0
697,2023-08-27,Tanker,Short-haul,Critical,High Cost,15.99,0.37,42623.2,212925.87,-211442.16,302756.11
702,2023-10-01,Container Ship,Short-haul,Fair,Speed Deviation,10.37,1.19,333307.69,299628.74,79242.32,216053.25
706,2023-10-29,Unknown,Coastal,Critical,High Cost,15.04,1.11,23319.53,921544.09,-230745.83,0.0
713,2023-12-17,Container Ship,Short-haul,Fair,Speed Deviation,10.8,0.44,236765.0,156045.54,-17300.37,359636.45
715,2023-12-31,Fish Carrier,Transoceanic,Fair,Speed Deviation,24.97,0.33,172666.9,265299.95,-81398.46,250382.03
716,2024-01-07,Bulk Carrier,Transoceanic,Good,Speed Deviation,10.48,0.76,422350.85,302288.68,168285.48,213393.3
717,2024-01-14,Tanker,Long-haul,Critical,Low Efficiency,13.42,1.5,390303.34,317274.77,136237.97,198407.21
718,2024-01-21,Container Ship,Coastal,Fair,Speed Deviation,11.03,0.34,198856.73,244211.65,-55208.64,271470.33
721,2024-02-11,Fish Carrier,Long-haul,Good,Low Efficiency,18.74,0.14,247605.45,662827.17,-6459.91,0.0
722,2024-02-18,Tanker,Short-haul,Fair,Speed Deviation,24.56,0.61,83774.58,616885.76,-170290.79,0.0
724,2024-03-03,Unknown,Long-haul,Good,Low Efficiency,21.09,1.47,132942.35,757049.83,-121123.02,0.0
730,2024-04-14,Bulk Carrier,Short-haul,Critical,High Cost,18.72,1.33,486961.4,266967.16,232896.04,248714.82
731,2024-04-21,Bulk Carrier,Short-haul,Fair,Low Efficiency,20.92,0.14,179889.15,793734.71,-74176.21,0.0
732,2024-04-28,Bulk Carrier,Coastal,Good,Low Efficiency,21.92,1.44,388103.31,724006.78,134037.94,0.0
733,2024-05-05,Unknown,Unknown,Critical,Low Efficiency,15.68,1.48,119648.69,496344.95,-134416.68,19337.03
735,2024-05-19,Fish Carrier,Coastal,Critical,Low Efficiency,14.46,0.14,144692.38,985558.48,-109372.99,0.0
738,2024-06-09,Fish Carrier,Transoceanic,Good,High Cost,11.82,0.82,471998.07,788990.46,217932.7,0.0
739,2024-06-16,Tanker,Transoceanic,Fair,Low Efficiency,19.38,0.16,44666.65,363518.39,-209398.71,152163.59
750,2023-07-30,Container Ship,Short-haul,Critical,"Low Efficiency, High Cost",15.7,0.17,484031.71,321469.99,229966.35,194212.0
751,2023-08-06,Fish Carrier,Transoceanic,Critical,"Low Efficiency, High Cost",22.2,0.16,12087.71,105015.32,-241977.65,410666.66
753,2023-08-20,Container Ship,Short-haul,Good,"Low Efficiency, High Cost",19.95,0.14,31328.64,600939.07,-222736.72,0.0
755,2023-09-03,Tanker,Long-haul,Fair,"Low Efficiency, High Cost, Speed Deviation",24.72,0.15,499224.56,331167.79,245159.19,184514.2
756,2023-09-10,Container Ship,Coastal,Fair,Speed Deviation,10.06,0.3,81720.8,884452.18,-172344.57,0.0
761,2023-10-15,Container Ship,Transoceanic,Fair,High Cost,16.35,0.66,476918.62,487060.51,222853.26,28621.47
768,2023-12-03,Bulk Carrier,Long-haul,Critical,Low Efficiency,21.98,1.45,76587.56,103885.04,-177477.81,411796.94
770,2023-12-17,Fish Carrier,Transoceanic,Good,"Low Efficiency, Speed Deviation",10.64,0.13,304356.02,639284.33,50290.65,0.0
771,2023-12-24,Bulk Carrier,Short-haul,Good,High Cost,21.57,0.4,18575.75,703556.35,-235489.61,0.0
776,2024-01-28,Fish Carrier,Short-haul,Critical,Low Efficiency,20.6,1.42,228614.97,704618.2,-25450.4,0.0
777,2024-02-04,Fish Carrier,Long-haul,Good,High Cost,18.16,1.01,494160.33,824387.03,240094.96,0.0
779,2024-02-18,Tanker,Transoceanic,Fair,Speed Deviation,24.82,1.1,458479.06,950997.54,204413.7,0.0
780,2024-02-25,Tanker,Coastal,Fair,Speed Deviation,24.74,0.22,175029.02,797597.08,-79036.34,0.0
788,2024-04-21,Tanker,Transoceanic,Critical,Speed Deviation,24.38,1.28,107304.59,339716.01,-146760.77,175965.97
790,2024-05-05,Fish Carrier,Long-haul,Critical,High Cost,15.44,0.78,479289.88,109356.92,225224.51,406325.06
792,2024-05-19,Container Ship,Unknown,Fair,Low Efficiency,15.25,0.16,85286.64,611826.3,-168778.73,0.0
797,2024-06-23,Fish Carrier,Short-haul,Critical,High Cost,13.59,0.44,498578.61,514359.0,244513.25,1322.98
798,2024-06-30,Tanker,Short-haul,Good,High Cost,19.12,0.77,27512.71,742210.86,-226552.66,0.0
805,2023-07-16,Bulk Carrier,Transoceanic,Critical,Low Efficiency,11.28,1.49,388393.28,261061.1,134327.92,254620.88
806,2023-07-23,Container Ship,Transoceanic,Fair,Low Efficiency,22.41,1.48,408998.74,620316.55,154933.38,0.0
809,2023-08-13,Tanker,Transoceanic,Good,High Cost,15.28,1.4,32565.28,247414.34,-221500.08,268267.64
812,2023-09-03,Bulk Carrier,Coastal,Good,Speed Deviation,10.55,0.73,284851.76,196404.78,30786.4,319277.2
814,2023-09-17,Container Ship,Long-haul,Fair,High Cost,18.35,0.24,474453.81,664994.27,220388.44,0.0
818,2023-10-15,Tanker,Coastal,Critical,Speed Deviation,10.89,0.73,437270.36,893240.85,183205.0,0.0
825,2023-12-03,Bulk Carrier,Transoceanic,Fair,"Low Efficiency, Speed Deviation",24.99,1.49,146820.63,99956.13,-107244.73,415725.85
830,2024-01-07,Tanker,Coastal,Critical,Speed Deviation,24.68,0.23,339311.21,849512.78,85245.84,0.0
833,2024-01-28,Container Ship,Transoceanic,Good,Low Efficiency,12.68,1.43,311632.19,587444.42,57566.82,0.0
837,2024-02-25,Container Ship,Transoceanic,Good,"Low Efficiency, High Cost",22.1,1.44,13519.25,142194.1,-240546.12,373487.88
842,2024-03-31,Tanker,Coastal,Fair,"Low Efficiency, High Cost",17.39,0.15,31485.94,247507.56,-222579.43,268174.42
844,2024-04-14,Bulk Carrier,Long-haul,Fair,Speed Deviation,10.9,0.64,76555.8,532483.82,-177509.56,0.0
845,2024-04-21,Bulk Carrier,Coastal,Good,Speed Deviation,24.49,0.38,58816.65,560366.56,-195248.72,0.0
846,2024-04-28,Container Ship,Transoceanic,Fair,Speed Deviation,24.53,0.68,305043.9,353632.25,50978.53,162049.73
848,2024-05-12,Unknown,Coastal,Fair,Low Efficiency,15.12,0.18,245598.53,711552.82,-8466.84,0.0
850,2024-05-26,Fish Carrier,Transoceanic,Good,High Cost,16.42,0.45,484986.92,271349.5,230921.55,244332.48
853,2024-06-16,Fish Carrier,Unknown,Good,High Cost,20.06,1.15,13636.55,216690.96,-240428.82,298991.02
855,2024-06-30,Bulk Carrier,Long-haul,Critical,High Cost,11.58,1.21,17514.03,421700.27,-236551.34,93981.72
856,2023-06-04,Container Ship,Short-haul,Critical,Low Efficiency,11.98,1.43,95776.56,555696.52,-158288.81,0.0
862,2023-07-16,Tanker,Coastal,Good,High Cost,23.72,0.96,10814.51,50956.3,-243250.86,464725.68
866,2023-08-13,Unknown,Transoceanic,Good,Speed Deviation,10.91,0.6,463150.15,819492.85,209084.78,0.0
867,2023-08-20,Tanker,Short-haul,Fair,High Cost,14.84,0.6,27781.91,137032.52,-226283.45,378649.46
869,2023-09-03,Fish Carrier,Long-haul,Critical,Speed Deviation,10.17,1.07,179970.03,823250.13,-74095.34,0.0
871,2023-09-17,Container Ship,Short-haul,Fair,"Low Efficiency, High Cost",20.16,0.13,38608.98,67491.38,-215456.38,448190.6
873,2023-10-01,Fish Carrier,Coastal,Fair,High Cost,18.44,0.61,41912.96,64295.7,-212152.41,451386.28
874,2023-10-08,Tanker,Transoceanic,Critical,Speed Deviation,24.97,1.23,117938.53,882403.8,-136126.84,0.0
876,2023-10-22,Tanker,Transoceanic,Fair,"High Cost, Speed Deviation",24.14,1.09,476966.74,501391.21,222901.37,14290.77
877,2023-10-29,Container Ship,Transoceanic,Unknown,"High Cost, Speed Deviation",24.65,0.62,24382.71,423570.35,-229682.66,92111.63
886,2023-12-31,Fish Carrier,Short-haul,Critical,Low Efficiency,14.17,0.14,142779.89,980301.0,-111285.47,0.0
892,2024-02-11,Fish Carrier,Long-haul,Critical,High Cost,19.21,0.25,482516.49,968109.18,228451.13,0.0
895,2024-03-03,Unknown,Coastal,Unknown,Low Efficiency,13.25,1.49,78712.3,227609.86,-175353.06,288072.12
898,2024-03-24,Bulk Carrier,Transoceanic,Critical,High Cost,21.29,1.3,23545.64,786342.39,-230519.73,0.0
901,2024-04-14,Tanker,Short-haul,Fair,Low Efficiency,12.45,0.16,106299.37,59094.81,-147766.0,456587.17
902,2024-04-21,Container Ship,Transoceanic,Critical,High Cost,21.89,0.64,484247.98,104941.62,230182.61,410740.36
903,2024-04-28,Fish Carrier,Transoceanic,Good,High Cost,23.89,0.24,495710.53,200766.04,241645.16,314915.94
907,2024-05-26,Fish Carrier,Long-haul,Fair,Speed Deviation,24.74,1.33,186107.79,470884.3,-67957.58,44797.68
909,2024-06-09,Container Ship,Long-haul,Fair,High Cost,16.05,0.55,19885.92,390055.33,-234179.45,125626.65
912,2024-06-30,Bulk Carrier,Long-haul,Critical,Speed Deviation,10.44,0.53,392604.23,904897.12,138538.86,0.0
917,2023-07-02,Tanker,Short-haul,Fair,High Cost,14.52,1.26,26973.32,203053.82,-227092.04,312628.16
919,2023-07-16,Fish Carrier,Short-haul,Fair,Low Efficiency,19.67,1.42,46113.77,569135.81,-207951.59,0.0
920,2023-07-23,Bulk Carrier,Long-haul,Fair,Low Efficiency,18.94,0.12,98715.09,990116.22,-155350.28,0.0
922,2023-08-06,Bulk Carrier,Short-haul,Critical,Low Efficiency,20.81,1.44,178375.11,965654.97,-75690.26,0.0
924,2023-08-20,Tanker,Coastal,Fair,"Low Efficiency, Speed Deviation",24.14,1.48,246983.72,76288.81,-7081.65,439393.17
925,2023-08-27,Container Ship,Long-haul,Good,Low Efficiency,20.52,1.45,223042.42,441380.62,-31022.95,74301.36
929,2023-09-24,Bulk Carrier,Long-haul,Fair,High Cost,20.91,0.26,25473.83,147656.44,-228591.53,368025.54
930,2023-10-01,Container Ship,Short-haul,Fair,Speed Deviation,24.32,1.0,199299.72,565641.28,-54765.65,0.0
931,2023-10-08,Fish Carrier,Long-haul,Fair,Low Efficiency,15.49,1.46,287913.38,923597.99,33848.01,0.0
933,2023-10-22,Container Ship,Short-haul,Good,Low Efficiency,13.28,1.41,235641.73,202580.95,-18423.64,313101.03
934,2023-10-29,Container Ship,Long-haul,Fair,Low Efficiency,18.74,0.18,181451.05,805722.47,-72614.32,0.0
942,2023-12-24,Unknown,Coastal,Good,Speed Deviation,24.2,0.88,401113.3,294426.75,147047.94,221255.23
944,2024-01-07,Fish Carrier,Transoceanic,Fair,Speed Deviation,10.67,0.82,126726.35,386330.65,-127339.01,129351.33
946,2024-01-21,Bulk Carrier,Long-haul,Critical,High Cost,12.01,1.03,478080.7,682894.17,224015.33,0.0
951,2024-02-25,Bulk Carrier,Transoceanic,Critical,Speed Deviation,10.94,0.27,417412.68,768741.04,163347.31,0.0
953,2024-03-10,Fish Carrier,Transoceanic,Good,Speed Deviation,24.61,0.23,397275.61,735870.21,143210.24,0.0
954,2024-03-17,Tanker,Coastal,Critical,Speed Deviation,24.93,0.63,261523.5,376520.07,7458.13,139161.91
957,2024-04-07,Container Ship,Long-haul,Critical,Speed Deviation,24.23,0.4,64109.55,573623.1,-189955.82,0.0
963,2024-05-19,Fish Carrier,Transoceanic,Unknown,High Cost,19.32,0.66,20070.24,472427.26,-233995.12,43254.72
964,2024-05-26,Fish Carrier,Coastal,Critical,High Cost,17.29,0.39,468177.75,988552.09,214112.39,0.0
965,2024-06-02,Container Ship,Coastal,Critical,Low Efficiency,14.93,0.14,46247.12,809941.35,-207818.25,0.0
966,2024-06-09,Fish Carrier,Coastal,Critical,Low Efficiency,15.97,1.46,457643.51,307482.73,203578.14,208199.25
967,2024-06-16,Tanker,Coastal,Fair,Speed Deviation,10.39,1.15,381791.7,702020.85,127726.34,0.0
968,2024-06-23,Tanker,Coastal,Critical,High Cost,21.68,0.56,14904.08,460580.92,-239161.28,55101.06
969,2024-06-30,Container Ship,Short-haul,Critical,Speed Deviation,24.57,0.53,369960.65,514451.75,115895.28,1230.23
970,2023-06-04,Container Ship,Transoceanic,Critical,Low Efficiency,15.69,0.15,252261.69,874292.64,-1803.68,0.0
973,2023-06-25,Tanker,Short-haul,Unknown,Speed Deviation,24.42,0.28,295797.8,72096.64,41732.44,443585.34
974,2023-07-02,Container Ship,Short-haul,Critical,High Cost,21.26,1.04,476539.83,429845.03,222474.46,85836.96
975,2023-07-09,Fish Carrier,Short-haul,Fair,Speed Deviation,10.39,1.15,267970.69,645481.89,13905.32,0.0
977,2023-07-23,Fish Carrier,Coastal,Good,Low Efficiency,12.29,1.48,171926.63,509848.81,-82138.74,5833.17
979,2023-08-06,Bulk Carrier,Long-haul,Fair,"High Cost, Speed Deviation",24.08,1.02,13822.16,909650.19,-240243.2,0.0
981,2023-08-20,Fish Carrier,Long-haul,Unknown,Speed Deviation,24.85,0.5,190652.43,902604.0,-63412.94,0.0
982,2023-08-27,Tanker,Short-haul,Critical,High Cost,14.03,0.37,469285.22,216159.47,215219.85,299522.51
985,2023-09-17,Bulk Carrier,Long-haul,Good,High Cost,21.6,1.35,487884.81,298422.9,233819.44,217259.08
987,2023-10-01,Container Ship,Coastal,Critical,High Cost,22.54,1.07,27481.57,774848.05,-226583.8,0.0
988,2023-10-08,Tanker,Transoceanic,Critical,High Cost,19.22,0.4,474973.58,521866.78,220908.22,0.0
990,2023-10-22,Tanker,Transoceanic,Critical,"Low Efficiency, Speed Deviation",10.84,0.16,156468.39,934842.9,-97596.97,0.0
991,2023-10-29,Tanker,Short-haul,Fair,Speed Deviation,11.1,0.3,196907.41,421743.56,-57157.96,93938.42
993,2023-11-12,Container Ship,Transoceanic,Critical,Low Efficiency,17.11,1.46,287945.03,130620.63,33879.66,385061.35
997,2023-12-10,Container Ship,Long-haul,Fair,"Low Efficiency, High Cost",22.81,1.43,469926.11,588623.85,215860.75,0.0
998,2023-12-17,Tanker,Long-haul,Good,Low Efficiency,20.96,0.11,251296.08,805147.77,-2769.29,0.0
1004,2024-01-28,Fish Carrier,Coastal,Good,Low Efficiency,18.48,1.44,271304.87,216046.2,17239.5,299635.79
1008,2024-02-25,Tanker,Long-haul,Fair,Speed Deviation,10.29,0.48,44243.34,945195.13,-209822.03,0.0
1010,2024-03-10,Container Ship,Short-haul,Fair,Low Efficiency,22.65,0.12,282063.12,879082.15,27997.75,0.0
1011,2024-03-17,Tanker,Coastal,Good,High Cost,12.95,0.46,498326.93,505387.98,244261.56,10294.0
1014,2024-04-07,Tanker,Coastal,Fair,High Cost,21.23,1.2,19570.88,839377.44,-234494.49,0.0
1018,2024-05-05,Bulk Carrier,Transoceanic,Critical,Low Efficiency,21.93,1.49,107336.3,646444.44,-146729.07,0.0
1022,2024-06-02,Container Ship,Coastal,Fair,High Cost,15.56,1.06,493069.38,223380.71,239004.01,292301.27
1025,2024-06-23,Bulk Carrier,Transoceanic,Critical,Low Efficiency,23.17,0.1,380592.7,826944.3,126527.33,0.0
1026,2024-06-30,Fish Carrier,Short-haul,Good,Speed Deviation,24.46,0.38,177151.67,392969.82,-76913.69,122712.16
1030,2023-06-25,Bulk Carrier,Short-haul,Fair,Low Efficiency,17.04,0.11,380020.6,769216.53,125955.23,0.0
1031,2023-07-02,Container Ship,Short-haul,Fair,High Cost,21.41,0.4,481356.58,871128.52,227291.21,0.0
1034,2023-07-23,Container Ship,Short-haul,Good,High Cost,12.68,1.26,499734.87,191987.95,245669.5,323694.03
1037,2023-08-13,Tanker,Coastal,Fair,Speed Deviation,10.42,0.84,152270.27,125182.81,-101795.1,390499.17
1041,2023-09-10,Container Ship,Transoceanic,Fair,High Cost,16.46,0.39,473716.12,932739.35,219650.75,0.0
1043,2023-09-24,Tanker,Long-haul,Fair,High Cost,19.34,0.41,37124.79,766035.08,-216940.58,0.0
1049,2023-11-05,Fish Carrier,Short-haul,Good,"Low Efficiency, Speed Deviation",10.35,1.46,361839.72,334917.77,107774.36,180764.21
1052,2023-11-26,Bulk Carrier,Short-haul,Good,High Cost,21.68,0.81,495422.77,160054.19,241357.41,355627.79
1057,2023-12-31,Tanker,Coastal,Critical,High Cost,22.94,0.55,473121.55,676731.19,219056.18,0.0
1059,2024-01-14,Bulk Carrier,Coastal,Critical,Low Efficiency,16.11,0.16,426908.25,319002.53,172842.88,196679.45
1060,2024-01-21,Bulk Carrier,Unknown,Good,Low Efficiency,18.92,1.46,106936.72,963730.93,-147128.65,0.0
1062,2024-02-04,Unknown,Short-haul,Unknown,High Cost,16.98,0.31,40115.95,528976.47,-213949.42,0.0
1066,2024-03-03,Tanker,Coastal,Fair,Speed Deviation,24.31,0.67,106444.98,124071.81,-147620.39,391610.17
1071,2024-04-07,Fish Carrier,Transoceanic,Fair,Low Efficiency,15.86,0.14,328082.53,185691.69,74017.17,329990.29
1078,2024-05-26,Container Ship,Long-haul,Critical,Low Efficiency,19.58,1.46,243904.58,455707.07,-10160.78,59974.91
1081,2024-06-16,Container Ship,Transoceanic,Fair,"Low Efficiency, Speed Deviation",11.08,1.46,110424.14,624142.15,-143641.22,0.0
1089,2023-07-09,Fish Carrier,Transoceanic,Critical,"Low Efficiency, High Cost",16.1,0.11,13498.53,792195.98,-240566.84,0.0
1092,2023-07-30,Bulk Carrier,Transoceanic,Good,Speed Deviation,24.26,1.18,341801.57,691813.06,87736.2,0.0
1093,2023-08-06,Tanker,Transoceanic,Fair,High Cost,23.27,0.68,470727.02,738962.31,216661.65,0.0
1094,2023-08-13,Fish Carrier,Transoceanic,Fair,Low Efficiency,13.48,0.15,159489.09,330516.58,-94576.27,185165.4
1096,2023-08-27,Container Ship,Transoceanic,Critical,Low Efficiency,12.04,0.15,114394.18,784980.75,-139671.18,0.0
1097,2023-09-03,Tanker,Transoceanic,Critical,Speed Deviation,10.18,0.6,349986.92,95428.69,95921.55,420253.29
1098,2023-09-10,Unknown,Short-haul,Unknown,Low Efficiency,14.12,1.44,179616.83,708917.96,-74448.54,0.0
1101,2023-10-01,Fish Carrier,Short-haul,Critical,Speed Deviation,10.11,1.08,419519.65,589453.45,165454.28,0.0
1105,2023-10-29,Tanker,Short-haul,Good,Speed Deviation,24.8,0.56,343464.97,563072.1,89399.6,0.0
1106,2023-11-05,Fish Carrier,Short-haul,Fair,Low Efficiency,22.79,0.17,167258.84,265901.49,-86806.52,249780.49
1110,2023-12-03,Container Ship,Short-haul,Critical,High Cost,12.75,0.89,483418.99,966348.84,229353.62,0.0
1111,2023-12-10,Container Ship,Coastal,Critical,Low Efficiency,15.89,1.45,216733.72,50854.62,-37331.64,464827.36
1112,2023-12-17,Tanker,Short-haul,Critical,Low Efficiency,19.26,1.46,435213.61,521548.03,181148.24,0.0
1122,2024-02-25,Tanker,Coastal,Critical,High Cost,22.75,0.9,486267.78,712959.46,232202.42,0.0
1126,2024-03-24,Bulk Carrier,Coastal,Good,High Cost,18.42,1.2,11376.01,740226.86,-242689.36,0.0
1131,2024-04-28,Bulk Carrier,Long-haul,Good,"Low Efficiency, High Cost, Speed Deviation",24.92,0.12,481649.61,772706.27,227584.25,0.0
1134,2024-05-19,Container Ship,Long-haul,Unknown,Low Efficiency,17.5,0.17,188607.25,534643.45,-65458.11,0.0
1136,2024-06-02,Fish Carrier,Short-haul,Good,Speed Deviation,11.0,1.15,259671.58,213593.98,5606.21,302088.0
1141,2023-06-04,Fish Carrier,Transoceanic,Good,Low Efficiency,15.28,0.18,141480.31,631610.34,-112585.06,0.0
1142,2023-06-11,Fish Carrier,Short-haul,Critical,Speed Deviation,24.1,1.22,418210.88,423472.33,164145.52,92209.65
1143,2023-06-18,Tanker,Long-haul,Good,Low Efficiency,11.9,1.5,230790.07,602332.34,-23275.29,0.0
1150,2023-08-06,Fish Carrier,Transoceanic,Critical,High Cost,19.37,0.92,474907.17,847170.01,220841.8,0.0
1156,2023-09-17,Container Ship,Transoceanic,Fair,Speed Deviation,24.4,1.25,264260.56,849262.31,10195.19,0.0
1159,2023-10-08,Fish Carrier,Unknown,Fair,Low Efficiency,22.29,1.48,325143.5,557744.81,71078.13,0.0
1163,2023-11-05,Fish Carrier,Unknown,Fair,Low Efficiency,18.87,0.15,434686.01,452907.08,180620.65,62774.9
1164,2023-11-12,Unknown,Long-haul,Critical,"Low Efficiency, High Cost",14.6,0.15,40669.94,787219.39,-213395.42,0.0
1165,2023-11-19,Tanker,Coastal,Fair,High Cost,17.09,0.93,11170.79,385904.37,-242894.58,129777.61
1167,2023-12-03,Container Ship,Short-haul,Fair,High Cost,15.53,0.22,36067.44,280399.45,-217997.93,235282.53
1168,2023-12-10,Bulk Carrier,Transoceanic,Good,Low Efficiency,16.32,1.43,259728.31,639342.75,5662.95,0.0
1169,2023-12-17,Fish Carrier,Unknown,Good,Speed Deviation,10.24,0.58,154240.63,244589.46,-99824.74,271092.53
1170,2023-12-24,Tanker,Coastal,Critical,Low Efficiency,11.21,0.15,344197.95,112775.01,90132.58,402906.97
1172,2024-01-07,Bulk Carrier,Long-haul,Critical,High Cost,18.32,0.6,472199.58,264595.51,218134.21,251086.47
1174,2024-01-21,Tanker,Transoceanic,Critical,"Low Efficiency, Speed Deviation",24.33,1.44,376514.6,815009.93,122449.23,0.0
1176,2024-02-04,Container Ship,Transoceanic,Good,Speed Deviation,10.45,1.09,291379.62,789772.91,37314.26,0.0
1177,2024-02-11,Tanker,Transoceanic,Fair,Speed Deviation,11.09,0.94,416010.54,397378.7,161945.18,118303.29
1183,2024-03-24,Fish Carrier,Unknown,Critical,Speed Deviation,24.75,0.92,421309.51,281008.28,167244.14,234673.7
1188,2024-04-28,Container Ship,Coastal,Fair,Speed Deviation,10.17,0.5,404645.93,505066.43,150580.56,10615.56
1193,2024-06-02,Unknown,Transoceanic,Critical,"Low Efficiency, High Cost",19.63,0.14,37420.24,866392.76,-216645.13,0.0
1194,2024-06-09,Bulk Carrier,Transoceanic,Fair,Speed Deviation,24.89,1.23,451386.35,378648.05,197320.98,137033.93
1196,2024-06-23,Bulk Carrier,Transoceanic,Fair,Low Efficiency,23.6,1.42,374858.78,53028.19,120793.41,462653.79
1203,2023-07-09,Fish Carrier,Short-haul,Good,Low Efficiency,17.71,1.5,82655.82,660264.23,-171409.55,0.0
1205,2023-07-23,Fish Carrier,Transoceanic,Good,Low Efficiency,14.64,1.41,407411.23,657244.62,153345.86,0.0
1207,2023-08-06,Bulk Carrier,Short-haul,Critical,Speed Deviation,10.57,0.81,94427.03,233493.14,-159638.34,282188.84
1209,2023-08-20,Bulk Carrier,Long-haul,Critical,Low Efficiency,21.57,1.49,247139.69,828486.05,-6925.67,0.0
1211,2023-09-03,Bulk Carrier,Coastal,Critical,Low Efficiency,15.34,0.17,369442.01,194585.77,115376.64,321096.22
1215,2023-10-01,Unknown,Transoceanic,Critical,High Cost,12.37,0.39,23887.64,648575.68,-230177.73,0.0
1216,2023-10-08,Bulk Carrier,Long-haul,Fair,Low Efficiency,15.54,1.43,404524.07,916891.41,150458.7,0.0
1218,2023-10-22,Container Ship,Unknown,Fair,"Low Efficiency, Speed Deviation",24.32,1.44,225466.74,213788.21,-28598.63,301893.77
1221,2023-11-12,Bulk Carrier,Short-haul,Unknown,Low Efficiency,18.94,1.47,316305.93,475828.39,62240.56,39853.6
