Voyage_ID,Date,Ship_Type,Engine_Type,Maintenance_Status,Turnaround_Time_hours,Efficiency_nm_per_kWh
584,2023-09-03,Tanker,Heavy Fuel Oil (HFO),Good,42.88893678909266,1.351612079994895
585,2023-09-10,Fish Carrier,Steam Turbine,Fair,43.47058498270815,0.6533496959905609
586,2023-09-17,Tanker,Steam Turbine,Good,59.91025781568179,0.1619793416549097
587,2023-09-24,Tanker,Heavy Fuel Oil (HFO),Critical,36.00240859156071,0.7879665364813588
588,2023-10-01,Fish Carrier,Diesel,Good,58.4933229534571,1.1001890356238486
589,2023-10-08,Container Ship,Heavy Fuel Oil (HFO),Fair,16.522328384377293,1.480102020465415
590,2023-10-15,Container Ship,Steam Turbine,Critical,43.28524130108204,0.7499981131285397
591,2023-10-22,Fish Carrier,Steam Turbine,Fair,20.316327175647565,0.5903098351927071
592,2023-10-29,Tanker,Steam Turbine,Good,64.06901578099894,0.6906873973509726
593,2023-11-05,Fish Carrier,Heavy Fuel Oil (HFO),Critical,62.3314395746797,1.414040056239661
594,2023-11-12,Tanker,Steam Turbine,Good,37.30397294553957,1.014153662105293
595,2023-11-19,Container Ship,Diesel,Fair,22.603013651414663,0.9717895301689636
596,2023-11-26,Container Ship,Heavy Fuel Oil (HFO),Good,37.34952737207048,0.5356769478859711
597,2023-12-03,Tanker,Heavy Fuel Oil (HFO),Good,32.12672123981664,0.4568457353648936
598,2023-12-10,Tanker,Steam Turbine,Fair,21.70344060665607,0.7459371030817712
599,2023-12-17,Tanker,Steam Turbine,Good,27.23063460564159,0.9568867014558434
600,2023-12-24,Fish Carrier,Heavy Fuel Oil (HFO),Good,20.59608893548841,0.751231251323741
601,2023-12-31,Tanker,Diesel,Fair,64.38829796890533,1.3764790227333568
602,2024-01-07,Bulk Carrier,Diesel,Critical,33.486530007565825,0.9748926897445804
603,2024-01-14,Tanker,Diesel,Good,59.518630721378976,0.1760804790522727
604,2024-01-21,Container Ship,Steam Turbine,Good,19.224960668021684,1.3484962241151244
605,2024-01-28,Bulk Carrier,Diesel,Fair,57.346702731338695,0.5376577882792127
606,2024-02-04,Container Ship,Heavy Fuel Oil (HFO),,49.60899448052387,0.2459877516884354
607,2024-02-11,Tanker,Steam Turbine,Good,63.13364101490773,0.9854765414360188
608,2024-02-18,Bulk Carrier,Diesel,Good,61.68245960983744,0.443219951039306
609,2024-02-25,Bulk Carrier,Heavy Fuel Oil (HFO),Good,47.72072678876473,0.8562184417614085
610,2024-03-03,Tanker,,Good,45.23592210717122,1.104704194834115
611,2024-03-10,Bulk Carrier,Steam Turbine,Fair,63.54517393846104,1.3706849360373137
612,2024-03-17,Tanker,Steam Turbine,,46.87307561114572,0.5232951289024742
613,2024-03-24,,Heavy Fuel Oil (HFO),Critical,50.146651211838616,1.381985262394628
614,2024-03-31,Fish Carrier,Heavy Fuel Oil (HFO),Good,59.21496779765984,0.4136557630915914
615,2024-04-07,Fish Carrier,Heavy Fuel Oil (HFO),Critical,33.26553438314467,0.8109117544137711
616,2024-04-14,Container Ship,Steam Turbine,Critical,45.10383956931979,1.3101058026692802
617,2024-04-21,Container Ship,Diesel,,32.680163839222494,0.8470120083588747
618,2024-04-28,Fish Carrier,Steam Turbine,Good,61.64957520780091,1.445084651760717
619,2024-05-05,Container Ship,Diesel,Critical,63.59444731591408,0.40321273719029
620,2024-05-12,Bulk Carrier,Steam Turbine,Good,30.673326200003192,1.2727136918358255
621,2024-05-19,Bulk Carrier,Diesel,Good,64.01055515956912,1.4805875504829409
622,2024-05-26,Container Ship,Diesel,Good,65.47710241985156,1.1963367655290726
623,2024-06-02,Tanker,Diesel,Fair,64.70390309988039,0.3205825951861448
624,2024-06-09,Bulk Carrier,,Good,30.55273620332056,0.1515801396254812
625,2024-06-16,Fish Carrier,Heavy Fuel Oil (HFO),Good,38.36046366772546,1.017768975653594
626,2024-06-23,,,Critical,43.60331131245492,0.1883931013311258
627,2024-06-30,Container Ship,Heavy Fuel Oil (HFO),Critical,34.10264067897261,0.4183922347633494
628,2023-06-04,Bulk Carrier,Steam Turbine,Critical,44.540241537876696,1.4497772047806423
629,2023-06-11,Fish Carrier,Diesel,Good,27.302529907626,1.2082838421849458
630,2023-06-18,Bulk Carrier,Steam Turbine,Fair,61.17547358806022,0.2965394850097412
631,2023-06-25,,Diesel,Critical,65.49579649877035,0.4849652755550963
632,2023-07-02,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,69.47723434356146,1.460024924914744
633,2023-07-09,Container Ship,Diesel,Fair,61.56985099571634,0.5213258167087021
634,2023-07-16,Container Ship,Steam Turbine,Critical,67.5818810678621,1.092559394633167
635,2023-07-23,Bulk Carrier,Steam Turbine,Good,63.64137777951937,0.1750314841951367
636,2023-07-30,Container Ship,Heavy Fuel Oil (HFO),Fair,41.78268812071207,1.2174308641816527
637,2023-08-06,Bulk Carrier,Heavy Fuel Oil (HFO),,37.41492648724622,0.4257555806409419
638,2023-08-13,Container Ship,Heavy Fuel Oil (HFO),Fair,27.17488338544546,0.3204761099713419
639,2023-08-20,Fish Carrier,Diesel,Critical,23.21858714559821,0.7559892655213325
640,2023-08-27,Fish Carrier,Diesel,Critical,31.47809216195131,0.5836320839500253
641,2023-09-03,Container Ship,Steam Turbine,Good,21.06138308510776,0.3684782682427056
642,2023-09-10,Tanker,Heavy Fuel Oil (HFO),Good,69.1463153262192,0.9902292261793016
643,2023-09-17,Container Ship,Steam Turbine,Fair,57.5210345372092,0.184569229092226
644,2023-09-24,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,61.06038562657602,0.116258909922001
645,2023-10-01,Fish Carrier,Steam Turbine,Good,51.6375086609389,1.0640766589700748
646,2023-10-08,Container Ship,Diesel,Critical,70.98304768188228,0.5597977791518429
647,2023-10-15,Container Ship,Diesel,Fair,27.3062360443698,1.295807170776062
648,2023-10-22,Bulk Carrier,Heavy Fuel Oil (HFO),Good,48.70425159204273,0.6548749882561706
649,2023-10-29,,Steam Turbine,Critical,37.043437540828194,1.026306746885343
650,2023-11-05,Fish Carrier,Heavy Fuel Oil (HFO),Fair,29.403841244529584,0.3664852892428561
651,2023-11-12,Bulk Carrier,Diesel,Critical,62.98733329671105,1.303210831655454
652,2023-11-19,Container Ship,Diesel,Good,41.233210161986925,0.7507201316789077
653,2023-11-26,Container Ship,Heavy Fuel Oil (HFO),Critical,26.847875442404312,0.2221329656526873
654,2023-12-03,Container Ship,Diesel,Critical,65.495332782943,0.1263503169991909
655,2023-12-10,Container Ship,Heavy Fuel Oil (HFO),Good,27.65287019658832,1.2464835834932262
656,2023-12-17,Tanker,Steam Turbine,Fair,39.04882447809037,0.6293288302709907
657,2023-12-24,Tanker,Steam Turbine,Good,54.72949080032121,0.70421871687341
658,2023-12-31,Bulk Carrier,Diesel,Fair,35.41992158242327,0.7761521995025094
659,2024-01-07,Bulk Carrier,Heavy Fuel Oil (HFO),,35.93133142097556,1.1873852847648771
660,2024-01-14,Container Ship,Steam Turbine,Fair,70.88573990373793,0.8747354668513894
661,2024-01-21,Bulk Carrier,Diesel,Critical,71.07637779115049,1.4240753031377855
662,2024-01-28,Fish Carrier,Diesel,Good,54.45983094256204,0.5670395373909741
663,2024-02-04,Container Ship,Heavy Fuel Oil (HFO),Fair,16.936946634849978,0.5672485494141271
664,2024-02-11,Fish Carrier,Heavy Fuel Oil (HFO),Good,13.602052351596514,0.5981953091331554
665,2024-02-18,,Diesel,Fair,44.87734115602712,0.4208338468909487
666,2024-02-25,Bulk Carrier,Steam Turbine,Good,20.35598052922398,1.4155885740048573
667,2024-03-03,Tanker,Diesel,Critical,62.35365459939602,1.1132704561566515
668,2024-03-10,Container Ship,Heavy Fuel Oil (HFO),Good,16.804536038560283,1.4001510685860852
669,2024-03-17,Bulk Carrier,Steam Turbine,Good,27.478622802422382,0.6160026132717114
670,2024-03-24,Container Ship,Diesel,Good,46.99724228427907,1.258255194728379
671,2024-03-31,Container Ship,Steam Turbine,Good,46.6735450471999,0.6302946901342469
672,2024-04-07,,Diesel,Critical,61.61176747874069,0.603737634399349
673,2024-04-14,Bulk Carrier,Diesel,Critical,39.48722288656297,0.7180885360743468
674,2024-04-21,Tanker,Diesel,Fair,29.62319264116646,0.8094938991446802
675,2024-04-28,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,62.74555931181504,0.7243046657197628
676,2024-05-05,Fish Carrier,Steam Turbine,Good,54.901703482049946,1.364178736791376
677,2024-05-12,Container Ship,,Critical,59.95627982226129,0.7308596278494812
678,2024-05-19,Container Ship,Heavy Fuel Oil (HFO),Good,34.55786829531208,1.4163792978098928
679,2024-05-26,Tanker,Diesel,Critical,61.08851126040409,0.1986935539211106
680,2024-06-02,,Heavy Fuel Oil (HFO),Critical,19.913040513416668,0.3714091621752472
681,2024-06-09,Container Ship,Diesel,Critical,65.58547545875582,0.3326534465585823
682,2024-06-16,Container Ship,Steam Turbine,Good,12.336926130601352,0.6136486452109593
683,2024-06-23,Container Ship,Steam Turbine,Good,62.53145813662509,0.2161815843552769
684,2024-06-30,Bulk Carrier,Diesel,Good,12.957583396399151,0.429114596185367
685,2023-06-04,Container Ship,Diesel,Fair,69.365847954021,0.9847388173601138
686,2023-06-11,Tanker,Heavy Fuel Oil (HFO),Fair,57.09702325930133,0.6492314283561732
687,2023-06-18,Tanker,Heavy Fuel Oil (HFO),Good,18.69561501123607,0.6089338832876089
688,2023-06-25,Tanker,Steam Turbine,Good,24.848914639807862,0.9683814100055148
689,2023-07-02,Container Ship,Steam Turbine,Fair,67.21878593740338,1.1031771339561574
690,2023-07-09,Tanker,Diesel,Good,32.70935201517617,1.264572374454275
691,2023-07-16,Fish Carrier,Steam Turbine,Good,55.79077159151876,1.414628352428694
692,2023-07-23,Fish Carrier,Heavy Fuel Oil (HFO),,20.08785292901432,0.7528184554263984
693,2023-07-30,Fish Carrier,Heavy Fuel Oil (HFO),Fair,35.33788080755866,0.2452101834496898
694,2023-08-06,Container Ship,Diesel,Good,69.09853533716613,1.3939752305608866
695,2023-08-13,Fish Carrier,Steam Turbine,Good,62.67542926121155,1.4291869251079043
696,2023-08-20,Tanker,Heavy Fuel Oil (HFO),Critical,25.711267432985583,0.7145144145625488
697,2023-08-27,Tanker,Heavy Fuel Oil (HFO),Critical,51.31664080359977,0.3656386658206402
698,2023-09-03,Tanker,Steam Turbine,Critical,63.44125676398835,0.3393304752752876
699,2023-09-10,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,63.14445032115671,0.7095043321664765
700,2023-09-17,Tanker,Diesel,,37.41186450576885,1.3573267470509425
701,2023-09-24,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,31.93046599607998,1.2181207428729086
702,2023-10-01,Container Ship,Diesel,Fair,19.88137534588529,1.190836414746239
703,2023-10-08,Bulk Carrier,Heavy Fuel Oil (HFO),Good,67.518594257215,1.3713603977690252
704,2023-10-15,Fish Carrier,Diesel,Fair,47.393512702871895,0.8823839594221974
705,2023-10-22,,Steam Turbine,Fair,36.98895966715431,1.0946548351572347
706,2023-10-29,,Diesel,Critical,43.94107901479472,1.1109203928937352
707,2023-11-05,Bulk Carrier,Diesel,Fair,14.7006046378703,0.7832675105711803
708,2023-11-12,Tanker,Heavy Fuel Oil (HFO),,33.70646164078104,0.6450544310323304
709,2023-11-19,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,40.89816718471653,0.6154120089221471
710,2023-11-26,Container Ship,Heavy Fuel Oil (HFO),Good,71.81472451016487,1.1322159553498772
711,2023-12-03,Fish Carrier,Heavy Fuel Oil (HFO),Good,13.473155084749711,0.8062683348257322
712,2023-12-10,Container Ship,Diesel,Fair,29.958604057403143,1.0293532320461476
713,2023-12-17,Container Ship,Diesel,Fair,49.13030628171165,0.4381458136743307
714,2023-12-24,Tanker,Steam Turbine,Good,49.82970539790957,1.3336495777092074
715,2023-12-31,Fish Carrier,Heavy Fuel Oil (HFO),Fair,32.28621462548706,0.3317008872106729
716,2024-01-07,Bulk Carrier,Steam Turbine,Good,63.509900915687645,0.7559866513772286
717,2024-01-14,Tanker,Steam Turbine,Critical,23.25726270599158,1.4963873972338313
718,2024-01-21,Container Ship,Steam Turbine,Fair,36.93344140686929,0.3439208274128086
719,2024-01-28,Fish Carrier,Diesel,Critical,44.87158321994036,0.5063710614520692
720,2024-02-04,Bulk Carrier,Heavy Fuel Oil (HFO),Good,21.9694377774598,0.863852406551383
721,2024-02-11,Fish Carrier,Diesel,Good,39.18141609331093,0.1412550791796723
722,2024-02-18,Tanker,Steam Turbine,Fair,49.30819470271378,0.6058152034155582
723,2024-02-25,,Heavy Fuel Oil (HFO),Good,13.057935784542304,1.2377468236240183
724,2024-03-03,,Heavy Fuel Oil (HFO),Good,58.8004490683786,1.469340762237496
725,2024-03-10,Container Ship,Diesel,Critical,17.606906872288373,0.983685226595404
726,2024-03-17,Fish Carrier,Steam Turbine,Critical,63.50561134647472,0.8945817917520771
727,2024-03-24,Container Ship,Diesel,Critical,14.613078221860828,0.5070474528193988
728,2024-03-31,Bulk Carrier,Diesel,Good,34.558335980065664,0.7529784559578443
729,2024-04-07,Bulk Carrier,Steam Turbine,Critical,30.75816749292159,0.5029667897777934
730,2024-04-14,Bulk Carrier,Steam Turbine,Critical,23.01294618198085,1.3319780612587484
731,2024-04-21,Bulk Carrier,Steam Turbine,Fair,54.96775325410511,0.1384489521221875
732,2024-04-28,Bulk Carrier,Diesel,Good,62.4062859384366,1.4365981611003749
733,2024-05-05,,Heavy Fuel Oil (HFO),Critical,33.870519982154505,1.47688961522083
734,2024-05-12,Tanker,Steam Turbine,Critical,40.296332801867344,0.5375101369958499
735,2024-05-19,Fish Carrier,Steam Turbine,Critical,47.94376025626449,0.1411206127316522
736,2024-05-26,Tanker,,Good,51.95063089443138,1.2862616067349455
737,2024-06-02,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,56.72316104161144,0.9723210091114092
738,2024-06-09,Fish Carrier,Diesel,Good,59.744476251520105,0.8162395363187593
739,2024-06-16,Tanker,Diesel,Fair,34.02266032873489,0.1610190251173787
740,2024-06-23,Bulk Carrier,Diesel,Fair,45.62575476276018,1.0245789045758942
741,2024-06-30,Fish Carrier,Heavy Fuel Oil (HFO),Good,22.220028021314874,0.7904507226973209
742,2023-06-04,Bulk Carrier,Heavy Fuel Oil (HFO),Good,20.2332595971194,1.092857567812192
743,2023-06-11,Tanker,Steam Turbine,Critical,61.59975824219901,0.4513926446915774
744,2023-06-18,Container Ship,Steam Turbine,Good,67.05164522552977,0.1976930928443087
745,2023-06-25,Bulk Carrier,Steam Turbine,Critical,45.034256733557584,0.318556633688382
746,2023-07-02,Fish Carrier,Heavy Fuel Oil (HFO),Critical,60.15194338994985,0.8559736150124929
747,2023-07-09,Fish Carrier,Diesel,Critical,39.07871583302584,0.4833278650308442
748,2023-07-16,Container Ship,Heavy Fuel Oil (HFO),Fair,66.9218614057555,0.6426274223439808
749,2023-07-23,Tanker,Heavy Fuel Oil (HFO),Fair,47.94589704366433,0.2117071412694598
750,2023-07-30,Container Ship,Heavy Fuel Oil (HFO),Critical,70.64277122671265,0.1675025308252445
751,2023-08-06,Fish Carrier,Heavy Fuel Oil (HFO),Critical,67.59539819755709,0.1574475851199726
752,2023-08-13,Bulk Carrier,Diesel,Fair,68.18158825140695,0.3647150436267062
753,2023-08-20,Container Ship,Diesel,Good,41.599826990963614,0.1449085543087464
754,2023-08-27,Fish Carrier,Diesel,Good,15.115688902849636,1.2000275913742802
755,2023-09-03,Tanker,Steam Turbine,Fair,17.02891432373079,0.1508308114861511
756,2023-09-10,Container Ship,Heavy Fuel Oil (HFO),Fair,21.223229943244743,0.297553994952051
757,2023-09-17,Container Ship,Diesel,,30.11001394283029,1.188472544833048
758,2023-09-24,Tanker,Steam Turbine,Fair,62.23279258767682,0.9989168644936524
759,2023-10-01,Container Ship,Diesel,Critical,22.6575695731541,0.3454691419843294
760,2023-10-08,Container Ship,Diesel,Fair,60.52192396085315,0.6081751837296292
761,2023-10-15,Container Ship,Diesel,Fair,46.2482885016434,0.6561069397582445
762,2023-10-22,Bulk Carrier,Diesel,Critical,64.02744081233206,0.2507218418902445
763,2023-10-29,Fish Carrier,Diesel,Good,62.05077975687404,1.0899834046668213
764,2023-11-05,Fish Carrier,Heavy Fuel Oil (HFO),Critical,15.00524372362142,0.9209522897217606
765,2023-11-12,Tanker,,Critical,51.45419186370108,0.223342246130573
766,2023-11-19,Container Ship,Steam Turbine,Critical,26.75685341983592,0.6519736010247191
767,2023-11-26,Bulk Carrier,Heavy Fuel Oil (HFO),Good,58.15760894884735,0.55439695807351
768,2023-12-03,Bulk Carrier,Steam Turbine,Critical,24.55884698640592,1.450009026947635
769,2023-12-10,Tanker,Diesel,Critical,23.752509388963315,0.3995607195746435
770,2023-12-17,Fish Carrier,Heavy Fuel Oil (HFO),Good,13.034847161827088,0.1296691755155862
771,2023-12-24,Bulk Carrier,Diesel,Good,14.5390745039474,0.3976836147409577
772,2023-12-31,Container Ship,Diesel,Fair,69.0380442615693,1.1571590429527905
773,2024-01-07,Fish Carrier,Diesel,Fair,24.86797627453352,0.5729540470859074
774,2024-01-14,Tanker,Steam Turbine,Critical,24.43076353173252,0.9272133224105442
775,2024-01-21,Fish Carrier,Steam Turbine,Good,70.66235142452933,1.0970289440870262
776,2024-01-28,Fish Carrier,Heavy Fuel Oil (HFO),Critical,28.950696935892168,1.422764845085404
777,2024-02-04,Fish Carrier,Heavy Fuel Oil (HFO),Good,32.42741958528711,1.0086558665222949
778,2024-02-11,,Steam Turbine,Critical,50.92596687254485,0.6065269400631425
779,2024-02-18,Tanker,Diesel,Fair,20.848283126998133,1.0953157493488004
780,2024-02-25,Tanker,Steam Turbine,Fair,56.97194282816244,0.2193803411713708
781,2024-03-03,Container Ship,Steam Turbine,Critical,17.122064172259154,0.7662785883248104
782,2024-03-10,Fish Carrier,Heavy Fuel Oil (HFO),Critical,25.730802570921668,0.9505331083771352
783,2024-03-17,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,31.6456328764737,1.2478340590076031
784,2024-03-24,Tanker,,Good,22.53982686964757,0.5724544722814221
785,2024-03-31,Tanker,Heavy Fuel Oil (HFO),Fair,35.731117125365955,0.8964419443246405
786,2024-04-07,Tanker,Steam Turbine,Fair,50.12593803749426,1.1615822234365416
787,2024-04-14,Fish Carrier,Steam Turbine,Good,52.23581221600343,0.3599103338145224
788,2024-04-21,Tanker,Diesel,Critical,55.12238196169388,1.2809258378059272
789,2024-04-28,Tanker,Steam Turbine,Fair,34.48468710206004,0.9191418660849172
790,2024-05-05,Fish Carrier,Heavy Fuel Oil (HFO),Critical,37.738225564220926,0.7774881959056814
791,2024-05-12,Tanker,Steam Turbine,Good,37.37690974515152,1.110146219501546
792,2024-05-19,Container Ship,Heavy Fuel Oil (HFO),Fair,55.16972004700449,0.1646711664655655
793,2024-05-26,Container Ship,Heavy Fuel Oil (HFO),Fair,15.945262130572992,0.6595792388613797
794,2024-06-02,,Steam Turbine,Good,58.09144973052992,1.2969429646387218
795,2024-06-09,Bulk Carrier,Steam Turbine,Critical,17.649366695884808,0.9097460396307628
796,2024-06-16,Tanker,Heavy Fuel Oil (HFO),Good,32.98236139664357,0.9274322545130772
797,2024-06-23,Fish Carrier,Heavy Fuel Oil (HFO),Critical,54.88235161307106,0.4403187868787047
798,2024-06-30,Tanker,Diesel,Good,36.557499582938426,0.7749618926124991
799,2023-06-04,Tanker,Diesel,Fair,20.35788350719349,0.9524863528694002
800,2023-06-11,Bulk Carrier,Diesel,Fair,64.84726292763497,0.5869779613598354
801,2023-06-18,Tanker,Heavy Fuel Oil (HFO),Good,61.23651162812951,1.1084527390349508
802,2023-06-25,Tanker,Diesel,Fair,23.85221447197656,0.4455602332504049
803,2023-07-02,Fish Carrier,Diesel,Good,64.68709330739672,0.8310414148077341
804,2023-07-09,Tanker,Steam Turbine,Good,61.75269691851732,0.8681902092803385
805,2023-07-16,Bulk Carrier,Diesel,Critical,69.92991391370614,1.4855208383008591
806,2023-07-23,Container Ship,Diesel,Fair,53.97225457472667,1.4824592906693703
807,2023-07-30,Tanker,Steam Turbine,Good,47.869420769554814,1.1081753273235393
808,2023-08-06,Container Ship,Steam Turbine,Fair,45.03261193360767,1.3303621417944935
809,2023-08-13,Tanker,Steam Turbine,Good,56.65061079188679,1.4028359144081928
810,2023-08-20,Bulk Carrier,Diesel,Fair,57.95723218010128,0.5937720465239138
811,2023-08-27,Tanker,Heavy Fuel Oil (HFO),Fair,19.811866838433303,1.017060002274622
812,2023-09-03,Bulk Carrier,,Good,45.47641786685766,0.7335237805492935
813,2023-09-10,Tanker,Steam Turbine,Good,61.07594339445303,0.4606126270984244
814,2023-09-17,Container Ship,Heavy Fuel Oil (HFO),Fair,36.08324661553003,0.2407562773866488
815,2023-09-24,Fish Carrier,Diesel,Fair,39.74651636060106,0.4983876959818636
816,2023-10-01,Tanker,Steam Turbine,Fair,17.93384269736187,0.8718483925833598
817,2023-10-08,Bulk Carrier,Steam Turbine,Good,68.02211212185797,1.151554927371132
818,2023-10-15,Tanker,Heavy Fuel Oil (HFO),Critical,12.810590160451612,0.7300588526735486
819,2023-10-22,Bulk Carrier,Diesel,Fair,23.57474541739876,1.0910826158884508
820,2023-10-29,Fish Carrier,Heavy Fuel Oil (HFO),Good,53.64762494046133,1.216249994927838
821,2023-11-05,Fish Carrier,Diesel,Good,15.57485533767724,1.3083412005843351
822,2023-11-12,,Heavy Fuel Oil (HFO),Good,36.78512131855848,0.5626177088505407
823,2023-11-19,Bulk Carrier,Diesel,Good,42.3801328266978,0.5133301491936133
824,2023-11-26,Tanker,Heavy Fuel Oil (HFO),Good,44.84100898935497,0.8858032098357296
825,2023-12-03,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,15.037815403986864,1.4943929352015874
826,2023-12-10,Tanker,,Fair,69.52166197277876,0.6568162392583744
827,2023-12-17,Fish Carrier,Diesel,Fair,50.950881834353375,1.261525030058351
828,2023-12-24,Fish Carrier,Diesel,Critical,21.903809136704744,0.8869948929959018
829,2023-12-31,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,64.10013125753635,0.4339710167932272
830,2024-01-07,Tanker,Steam Turbine,Critical,43.96430384473116,0.2318362792611078
831,2024-01-14,Fish Carrier,Heavy Fuel Oil (HFO),Fair,35.36147281816993,0.849192333239037
832,2024-01-21,,Diesel,Good,17.39677091547708,0.4971917191809326
833,2024-01-28,Container Ship,Diesel,Good,40.89265017040771,1.4340307880845602
834,2024-02-04,,Steam Turbine,Good,38.55516194591135,0.6444934220280275
835,2024-02-11,Tanker,Diesel,Fair,45.47304633137194,1.126738644394174
836,2024-02-18,Tanker,Steam Turbine,Fair,15.683614353558848,0.6398206256589294
837,2024-02-25,Container Ship,Heavy Fuel Oil (HFO),Good,59.60664638071833,1.442292816558867
838,2024-03-03,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,20.91816188088246,1.243428297057182
839,2024-03-10,Fish Carrier,Steam Turbine,Critical,19.668712426637818,1.198608674026474
840,2024-03-17,Container Ship,Diesel,Good,57.68806032132541,0.2487662307061519
841,2024-03-24,Tanker,Heavy Fuel Oil (HFO),Good,66.79206468652433,0.4208052306303662
842,2024-03-31,Tanker,,Fair,29.15583381296351,0.1470664806978044
843,2024-04-07,Container Ship,Steam Turbine,Fair,31.62563538792483,1.3215968035601438
844,2024-04-14,Bulk Carrier,Steam Turbine,Fair,32.91423853598576,0.64039731108485
845,2024-04-21,Bulk Carrier,Steam Turbine,Good,66.41803581986056,0.3753195110266683
846,2024-04-28,Container Ship,Steam Turbine,Fair,35.71261298295478,0.6791555220881603
847,2024-05-05,Bulk Carrier,Steam Turbine,Good,35.97065128275008,0.981671675964036
848,2024-05-12,,Diesel,Fair,13.683323897622625,0.1789954811332684
849,2024-05-19,Tanker,Diesel,Good,14.444510364151338,1.2490323276236583
850,2024-05-26,Fish Carrier,Steam Turbine,Good,44.88426496916429,0.4525306271094547
851,2024-06-02,Fish Carrier,Steam Turbine,Fair,47.38777459154867,1.1216768473203735
852,2024-06-09,Fish Carrier,Heavy Fuel Oil (HFO),Fair,48.10989514541511,0.3489475144593047
853,2024-06-16,Fish Carrier,Steam Turbine,Good,20.74660353916834,1.1473177972902782
854,2024-06-23,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,70.15451746866458,0.4181199694060725
855,2024-06-30,Bulk Carrier,Steam Turbine,Critical,60.45955282773026,1.2146400850234351
856,2023-06-04,Container Ship,Steam Turbine,Critical,64.7127752068678,1.4293035545115689
857,2023-06-11,Tanker,Heavy Fuel Oil (HFO),Fair,48.41549464770279,1.3337771753874264
858,2023-06-18,Fish Carrier,Steam Turbine,,65.74848866430088,0.8364791974671368
859,2023-06-25,Bulk Carrier,Diesel,Fair,58.39282950934612,0.396639423001491
860,2023-07-02,Tanker,Heavy Fuel Oil (HFO),Fair,56.0059638732254,0.8506497834832465
861,2023-07-09,Fish Carrier,Steam Turbine,Good,16.755717574643263,1.3047167341464565
862,2023-07-16,Tanker,,Good,53.690406110567054,0.9632336087566707
863,2023-07-23,Container Ship,Diesel,Critical,14.41763009965877,1.154235694713523
864,2023-07-30,Fish Carrier,Heavy Fuel Oil (HFO),Fair,67.77964702766036,0.8166558180897951
865,2023-08-06,Bulk Carrier,,Fair,23.830971636297363,1.346961394558146
866,2023-08-13,,Steam Turbine,Good,26.681147838707005,0.604005247515135
867,2023-08-20,Tanker,Diesel,Fair,41.90842082596069,0.5982033761089673
868,2023-08-27,Fish Carrier,Steam Turbine,Fair,30.909466427058344,1.3328310781484825
869,2023-09-03,Fish Carrier,Steam Turbine,Critical,14.24624740674804,1.0661384076269262
870,2023-09-10,Tanker,,Critical,47.606373887848974,0.9179899562166024
871,2023-09-17,Container Ship,Steam Turbine,Fair,19.55958295497489,0.1344919963654321
872,2023-09-24,Tanker,Steam Turbine,Fair,23.93299190991949,1.0984762868975662
873,2023-10-01,Fish Carrier,Steam Turbine,Fair,40.34354068307884,0.6058224300423299
874,2023-10-08,Tanker,Diesel,Critical,46.57993779913264,1.229933491931566
875,2023-10-15,Tanker,Heavy Fuel Oil (HFO),Critical,14.458789384227169,0.7500797228882259
876,2023-10-22,Tanker,Heavy Fuel Oil (HFO),Fair,49.548218824036965,1.0904414676504313
877,2023-10-29,Container Ship,Steam Turbine,,57.96813171161682,0.6186307209819041
878,2023-11-05,Container Ship,Diesel,Good,58.85003576693367,0.6361294001524587
879,2023-11-12,Tanker,Steam Turbine,Critical,52.84878517135773,0.5287679286336706
880,2023-11-19,Bulk Carrier,Steam Turbine,Good,30.78211881192459,0.2444120325189576
881,2023-11-26,Tanker,Heavy Fuel Oil (HFO),Fair,40.40040851389236,0.2814076041944079
882,2023-12-03,Container Ship,Diesel,Critical,64.44372192566183,1.0472509648718789
883,2023-12-10,Container Ship,Steam Turbine,Critical,62.87330845121068,1.3481702027004432
884,2023-12-17,Tanker,Heavy Fuel Oil (HFO),Fair,15.049897602770708,0.2636691168255969
885,2023-12-24,Fish Carrier,Heavy Fuel Oil (HFO),Fair,54.38732189249936,0.8456093817242432
886,2023-12-31,Fish Carrier,Heavy Fuel Oil (HFO),Critical,54.599934095186704,0.1359271142016633
887,2024-01-07,Fish Carrier,Diesel,Critical,30.79281728538424,0.5853847838829739
888,2024-01-14,Tanker,Steam Turbine,Fair,59.74245737488419,0.8115024689363581
889,2024-01-21,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,28.912722264788933,0.6893344929874627
890,2024-01-28,Fish Carrier,Heavy Fuel Oil (HFO),Good,39.77564321150941,1.2614519992605682
891,2024-02-04,Container Ship,Diesel,Fair,34.87812034246144,0.5698503260900538
